year,台電,民間
91,12.38,0
92,9.8,0
93,12.8,0
94,79.09,0
95,174.04,92.66
96,276.46,153.88
97,272.69,329.69
98,371.68,476.5
99,515.2,506.65
100,802.97,792.68
101,736.54,752.97
102,747.79,869.49
103,706.54,779.96
104,716.46,787.2
105,645.74,800.8
106 Sep,432.65,523.24
